         24868 function calls (23568 primitive calls) in 0.131 seconds

   Ordered by: internal time, cumulative time
   List reduced from 1229 to 200 due to restriction <200>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.014    0.002 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/cursor.py:307(__init__)
       25    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/protocol.py:119(make_command)
        2    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/encodings/__init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/gunicorn/http/wsgi.py:117(create)
        1    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/orm/state.py:308(_detach_states)
       17    0.000    0.000    0.000    0.000 {method 'encode' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 {time.localtime}
       22    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       10    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/sql/type_api.py:475(_dialect_info)
       10    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/util/langhelpers.py:1031(constructor_copy)
       17    0.000    0.000    0.000    0.000 {method 'decode' of 'str' objects}
      128    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       11    0.000    0.000    0.000    0.000 /usr/local/Cellar/python/2.7.13/Frameworks/Python.framework/Versions/2.7/lib/python2.7/threading.py:147(acquire)
        3    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/constants.py:608(get_default_collation)
        7    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/connection.py:426(get_rows)
       76    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
        7    0.000    0.000    0.014    0.002 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/cursor.py:954(__init__)
       21    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/werkzeug/local.py:344(__getattr__)
       22    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/sre_compile.py:546(isstring)
       56    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       64    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/constants.py:77(flag_is_set)
        1    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/orm/session.py:1166(expunge_all)
       30    0.000    0.000    0.000    0.000 {sys.exc_clear}
        4    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/sql/selectable.py:2749(_froms)
        9    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/sre_parse.py:227(isname)
        1    0.000    0.000    0.000    0.000 /usr/local/Cellar/python/2.7.13/Frameworks/Python.framework/Versions/2.7/lib/python2.7/json/encoder.py:212(iterencode)
        1    0.000    0.000    0.025    0.025 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/__init__.py:26(<module>)


